datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2021-09-03,10,85.2,1.87,21.3
2021-09-03,79,86.4,2.17,38.8
2021-09-03,50,47.7,1.43,26.7
2021-09-03,45,104.4,2.65,28.9
2021-09-03,72,65.9,1.71,21.0
2021-09-03,13,486.6,4.06,76.1
2021-09-03,25,103.4,2.24,21.2
2021-09-03,75,132.0,1.54,38.1
2021-09-03,976,50.1,3.16,0.0
2021-09-03,35,111.4,2.45,28.4
2021-09-03,17,65.1,1.42,38.8
2021-09-03,69,177.3,2.82,36.9
2021-09-03,94,147.6,2.12,38.1
2021-09-03,71,80.3,2.23,21.2
2021-09-03,73,135.2,2.95,36.9
2021-09-03,77,135.6,2.23,38.1
2021-09-03,81,111.6,2.35,63.7
2021-09-03,40,75.5,1.94,38.8
2021-09-03,63,67.8,1.85,36.9
2021-09-03,30,253.8,3.78,63.7
2021-09-03,58,40.1,1.35,21.2
2021-09-03,971,588.2,10.53,307.4
2021-09-03,88,78.2,1.66,21.3
2021-09-03,83,246.3,2.64,76.1
2021-09-03,09,215.9,3.85,63.7
2021-09-03,60,100.7,2.19,34.5
2021-09-04,2B,152.0,2.02,61.1
2021-09-04,88,75.7,1.59,21.1
2021-09-04,53,58.3,1.61,23.2
2021-09-04,76,78.3,1.95,23.8
2021-09-04,83,233.0,2.54,75.0
2021-09-04,50,45.0,1.36,23.8
2021-09-04,16,69.8,1.81,39.1
2021-09-04,01,107.6,2.68,36.3
2021-09-04,41,76.6,2.11,30.0
2021-09-04,81,104.4,2.21,61.2
2021-09-04,61,50.6,1.46,23.8
2021-09-04,23,40.4,1.29,39.1
2021-09-04,68,186.8,2.85,21.1
2021-09-04,33,108.5,2.1,39.1
2021-09-04,04,219.1,3.2,75.0
2021-09-04,29,59.5,1.45,26.5
2021-09-04,15,42.7,1.1,36.3
2021-09-04,10,80.7,1.77,21.1
2021-09-04,54,83.0,1.78,21.1
2021-09-04,58,41.1,1.36,20.7
2021-09-04,42,116.6,2.34,36.3
2021-09-04,31,129.5,2.06,61.2
2021-09-04,69,177.2,2.88,36.3
2021-09-04,78,140.3,2.63,38.1
2021-09-04,75,131.4,1.54,38.1
2021-09-04,46,121.3,2.28,61.2
2021-09-04,24,90.1,2.07,39.1
2021-09-04,27,74.4,2.06,23.8
2021-09-04,14,56.7,1.39,23.8
2021-09-04,80,45.5,1.41,34.5
2021-09-04,976,51.9,3.22,0.0
2021-09-04,95,163.8,2.27,38.1
2021-09-04,05,176.4,3.07,75.0
2021-09-04,44,92.3,2.05,23.2
2021-09-04,73,132.9,2.93,36.3
2021-09-04,87,48.6,1.38,39.1
2021-09-04,02,53.4,1.52,34.5
2021-09-04,11,155.6,2.54,61.2
2021-09-04,94,143.0,2.06,38.1
2021-09-04,86,65.6,1.68,39.1
2021-09-04,52,63.8,1.56,21.1
2021-09-04,19,54.9,1.33,39.1
2021-09-04,56,83.8,2.09,26.5
2021-09-04,90,144.1,2.81,20.7
2021-09-04,91,142.5,2.47,38.1
2021-09-04,26,128.7,2.55,36.3
2021-09-04,12,103.5,2.05,61.2
2021-09-04,84,271.0,3.53,75.0
2021-09-04,32,88.9,2.13,61.2
2021-09-04,48,78.6,1.88,61.2
2021-09-04,64,105.2,1.99,39.1
2021-09-04,39,98.1,2.17,20.7
2021-09-04,38,131.1,2.95,36.3
2021-09-04,35,107.8,2.38,26.5
2021-09-04,59,122.0,2.52,34.5
2021-09-04,62,68.3,1.76,34.5
2021-09-04,34,224.9,3.05,61.2
2021-09-04,66,135.7,1.97,61.2
2021-09-04,82,143.9,2.47,61.2
2021-09-04,51,90.4,2.18,21.1
2021-09-04,37,66.7,1.71,30.0
2021-09-04,74,156.6,2.83,36.3
2021-09-04,25,105.1,2.25,20.7
2021-09-04,43,93.4,2.07,36.3
2021-09-04,22,110.0,2.73,26.5
2021-09-04,67,132.8,2.16,21.1
2021-09-04,93,190.7,2.39,38.1
2021-09-04,92,134.9,2.07,38.1
2021-09-04,09,206.7,3.71,61.2
2021-09-04,60,97.8,2.1,34.5
2021-09-04,63,66.5,1.82,36.3
2021-09-04,28,101.3,2.69,30.0
2021-09-04,03,45.9,1.31,36.3
2021-09-04,17,60.6,1.34,39.1
2021-09-04,36,76.9,2.24,30.0
2021-09-04,973,418.3,13.86,161.5
2021-09-04,07,125.7,2.41,36.3
2021-09-04,971,538.4,10.51,329.6
2021-09-04,77,138.4,2.28,38.1
2021-09-04,30,240.9,3.64,61.2
2021-09-04,40,76.7,1.99,39.1
2021-09-04,47,98.4,1.88,39.1
2021-09-04,71,78.7,2.21,20.7
2021-09-04,06,235.8,2.37,75.0
2021-09-04,55,77.1,1.93,21.1
2021-09-04,18,87.4,2.38,30.0
2021-09-04,974,159.0,3.08,55.8
2021-09-04,2A,124.4,1.34,61.1
2021-09-04,972,424.0,9.32,580.8
2021-09-04,45,106.8,2.73,30.0
2021-09-04,21,78.4,1.91,20.7
2021-09-04,72,65.9,1.71,23.2
2021-09-04,89,75.9,1.81,20.7
2021-09-04,85,73.3,1.65,23.2
2021-09-04,13,478.4,4.12,75.0
2021-09-04,49,78.7,2.07,23.2
2021-09-04,70,71.6,1.87,20.7
2021-09-04,79,87.0,2.18,39.1
2021-09-04,08,80.6,2.23,21.1
2021-09-04,65,139.3,2.55,61.2
2021-09-04,57,132.0,2.35,21.1
2021-09-05,52,64.4,1.59,21.3
2021-09-05,39,94.6,2.09,21.7
2021-09-05,94,142.0,2.05,38.0
2021-09-05,27,73.9,2.04,22.9
2021-09-05,21,77.3,1.89,21.7
2021-09-05,67,132.4,2.16,21.3
2021-09-05,57,132.2,2.35,21.3
2021-09-05,26,128.5,2.56,36.1
2021-09-05,973,422.4,14.05,176.9
2021-09-05,12,102.0,2.03,60.5
2021-09-05,23,41.3,1.32,38.6
2021-09-05,01,106.6,2.66,36.1
2021-09-05,63,66.0,1.81,36.1
2021-09-05,83,229.6,2.53,75.4
2021-09-05,33,107.6,2.1,38.6
2021-09-05,66,135.5,1.99,60.5
2021-09-05,09,206.0,3.69,60.5
2021-09-05,71,79.6,2.24,21.7
